,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text,Emotion
10,11,I Fall Apart,Post Malone,dfw rap,2016,144,54,56,-5,20,29,223,7,4,84,"oooh, i fall apartoooh, yeah, mmhmmshe told me that i'm not enough, yeahand she left me with a broken heart, yeahshe fooled me twice and it's all my fault, yeahshe cut too deep, now she left me scarred, yeahnow there's too many thoughts goin' through my brain, yeahand now i'm takin' these shots like it's novocaine, yeahoooh, i fall apartdown to my coreoooh, i fall apartdown to my coreoooh, didn't know it beforesurprised when you caught me off guardall this damn jewelry i boughtyou was my shorty, i thoughtnever caught a feelin' this hardharder than the liquor i pourtell me you don't want me no morebut i can't let goeverybody told me sofeelin' like i sold my souldevil in the form of a whoredevil in the form of a whoreyou said itno, you said itno, you said itwe'd be togetheroooh, i fall apartdown to my coreoooh, i fall apartdown to my coreoooh, didn't know it beforesurprised when you caught me off guardall this damn jewelry i boughtyou was my shorty, i thoughtice keep pourin' and the drink keep flowin'try to brush it off but it keep on goin'covered in scars and i can't help showin'whippin' in the foreign and the tears keep blowin'ice keep droppin' and the drink keep flowin'try to brush it off but it keep on goin'all these scars, can't help from showin'whippin' in the foreign and the tears keep blowin', yeahoooh, i fall apartdown to my coreoooh, i fall apartdown to my coreoooh, didn't know it beforesurprised when you caught me off guardall this damn jewelry i boughtyou was my shorty, i thought",Happy
11,12,HUMBLE.,Kendrick Lamar,conscious hip hop,2017,150,62,91,-7,10,42,177,0,10,84,"nobody pray for meit been that day for mewayyeah, yeah!ayy, i remember syrup sandwiches and crime allowancesfinesse on 'em with some counterfeits, but now i'm countin' thisparmesan where my accountant lives, in fact, i'm downin' thisd'ussé with my boo bae tastes like kool-aid for the analystsgirl, i can buy yo' ass the world with my paystubi know that it's good, won't you sit it on my taste bluds?i get way too petty once you let me do the extraspull up on your block, then break it down, we playin' tetrisa.m. to the p.m., p.m. to the a.m., funkeat up your per diem, you just gotta hate 'em, funkif i quit your bm, i still ride mercedes, funkif i quit this season, i still be the greatest, funkmy left stroke just went viralright stroke put lil' baby in a spiralsoprano c, we like to keep it on a high noteit's levels to it, you and i knowtell 'em, be humble (hol' up)sit down (hol' up, hol' up, lil', hol' up)be humble (hol' up)sit down (hol' up, sit down, lil', sit down, lil')be humble (hol' up, hol' up)sit down (hol' up, hol' up, lil', hol' up)be humble (hol' up)sit down (hol' up, hol' up, hol' up)be humble (hol' up, hol' up)sit down (hol' up, hol' up, lil', hol' up, lil')be humble (hol' up)sit down (hol' up, sit down, lil', sit down, lil')be humble (hol' up, hol' up)sit down (hol' up, hol' up, lil', hol' up)be humble (hol' up)sit down (hol' up, hol' up, hol' up, hol' up)who dat -a thinkin' that he frontin' on man-man? (man-man)get the f- off my stage, i'm the sandman (sandman)get the f- off my (ayy), that ain't righti make a play blowing up your whole lifei'm so, so sick and tired of the photoshopshow me somethin' natural like afro on richard pryorshow me somethin' natural, i wanna feel some stretch marksstill i take you down right on your mama couch in polo socksayy, this shit way too crazy, ayy, you do not amaze me, ayyi blew cool from ac, ayy, obama just paged me, ayyi don't fabricate it, ayy, most of y'all be fakin', ayyi stay modest 'bout it, ayy, she elaborate it, ayythis that grey poupon, that evian, that ted talk, ayywatch my soul speak, you let the meds talk, ayyif i kill a, uhm, it won't be the alcohol, ayyi'm the realest, uhm, after alltell 'em, be humble (hol' up)sit down (hol' up, hol' up, lil')be humble (hol' up)sit down (hol' up, sit down, lil', sit down, lil')tell 'em sit down (hol' up, hol' up, lil' hol' up)be humble (hol' up)sit down (hol' up, hol' up, hol' up, hol' up)be humble (hol' up, hol' up)sit down (hol' up, hol' up, lil' hol' up, lil')be humble (hol' up)sit down (hol' up, sit down, lil', sit down, lil')be humble (hol' up, hol' up)sit down (hol' up, hol' up, lil' hol' up)be humble (hol' up, hol' up)sit down (hol' up, hol' up, hol' up)",Happy
12,13,Starboy,The Weeknd,canadian contemporary r&b,2016,186,59,68,-7,14,49,230,14,28,84,"i'm tryna put you in the worst mood, ahp1 cleaner than your church shoes, ahmilli point two just to hurt you, ahall red lamb just to tease you, ahnone of these toys on lease too, ahmade your whole year in a week too, yeahmain bitch out of your league too, ahside bitch out of your league too, ahhouse so empty, need a centerpiecetwenty racks, a table cut from ebonycut that ivory into skinny piecesthen she clean it with her face, mani love my babyyou talking money, need a hearing aidyou talking 'bout me, i don't see the shadeswitch up my style, i take any lanei switch up my cup, i kill any painha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyevery day a nigga try to test me, ahevery day a nigga try to end me, ahpull off in that roadster sv, ahpockets over weight getting hefty, ahcoming for the king, that's a far cryi come alive in the fall time ino competition, i don't really listeni'm in the blue mulsanne bumping new editionhouse so empty, need a centerpiecetwenty racks, a table cut from ebonycut that ivory into skinny piecesthen she clean it with her face, mani love my babyyou talking money, need a hearing aidyou talking 'bout me, i don't see the shadeswitch up my style, i take any lanei switch up my cup, i kill any painha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboylet a nigga brag pittlegend of the fall took the year like a banditbought mama a crib and a brand new wagonnow she hit the grocery shop looking lavishstar trek roof in that wraith of khangirls get loose when they hear this songhundred on the dash get me close to godwe don't pray for love, we just pray for carshouse so empty, need a centerpiecetwenty racks, a table cut from ebonycut that ivory into skinny piecesthen she clean it with her faceman, i love my babyyou talking money, need a hearing aidyou talking 'bout me, i don't see the shadeswitch up my style, i take any lanei switch up my cup, i kill any painha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboyha-ha-ha-ha-ha-ha-ha-ha-ha-halook what you've done!ha-ha-ha-ha-ha-ha-ha-ha-ha-hai'm a motherfuckin' starboy",Happy
13,14,FRIENDS,Marshmello,brostep,2018,95,88,63,-2,13,53,203,21,5,83,"ooh ooh, ooh oohooh ooh, ooh oohyou say you love me, i say you crazywe're nothing more than friendsyou're not my lover, more like a brotheri known you since we were like ten, yeahdon't mess it up, talking that shitonly gonna push me away, that's itwhen you say you love me, that make me crazyhere we go againdon't go look at me with that look in your eyeyou really ain't going away without a fightyou can't be reasoned with, i'm done being politei've told you one, two, three, four, five, six thousand timeshaven't i made it obvious?haven't i made it clear?want me to spell it out for you?f-r-i-e-n-d-shaven't i made it obvious?haven't i made it clear?want me to spell it out for you?f-r-i-e-n-d-sf-r-i-e-n-d-shave you got no shame? you looking insaneturning up at my doorit's two in the morning, the rain is pouringhaven't we been here before?don't mess it up, talking that shitonly gonna push me away, that's ithave you got no shame? you looking insanehere we go againso don't go look at me with that look in your eyeyou really ain't going away without a fightyou can't be reasoned with, i'm done being politei've told you one, two, three, four, five, six thousand timeshaven't i made it obvious? (haven't i made it?)haven't i made it clear? (haven't i made it clear?)want me to spell it out for you?f-r-i-e-n-d-shaven't i made it obvious?haven't i made it clear? (haven't i?)want me to spell it out for you? (to spell it out for you?)f-r-i-e-n-d-sf-r-i-e-n-d-sf-r-i-e-n-d-sthat's how you f- spell ""friends""f-r-i-e-n-d-sget that shit inside your headno, no, yeah, uh, ahf-r-i-e-n-d-swe're just friendsso don't go look at me with that look in your eyeyou really ain't going nowhere without a fightyou can't be reasoned with, i'm done being politei've told you one, two, three, four, five, six thousand timeshaven't i made it obvious? (have i not made it obvious?)haven't i made it clear? (i made it very clear)want me to spell it out for you? (yo)f-r-i-en-d-s (i said f-r-i-e-n-d-s)haven't i made it obvious? (i made it very obvious)haven't i made it clear? (i made it very clear)want me to spell it out for you?f-r-i-e-n-d-sf-r-i-e-n-d-s",Sad
14,15,Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,140,56,75,-8,11,46,221,55,11,83,"damn, my ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloadcome with the tony romo for clowns and all the bozosmy ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloaddon't act like you my friend when i'm rollin' through my ends, thoughyou stuck in the friend zone, i tell that four-five the fifth, ayyhunnid bands inside my shorts, dechino the shit, ayytry to stuff it all in, but it don't even fit, ayyknow that i been with the shits ever since a jit, ayyi made my first million, i'm like, ""shit, this is it,"" ayy30 for a walk through, man, we had that bitch lit, ayyhad so many bottles, gave ugly girl a sipout the window of the benzo, we get seen in the rent'and i'm like ""whoa, man, my neck so goddamn cold""diamonds wet, my t-shirt soakedi got homies, let it go, ohmy money thick, won't ever foldshe said, ""can i have some to hold?""and i can't ever tell you nodamn, my ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloadcome with the tony romo for clowns and all the bozosmy ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloaddon't act like you my friend when i'm rollin' through my ends, though[ty dolla $ign:]the ap goin' psycho, my rollie goin' brazyi'm hittin' lil' mama, she wanna have my babiesit's fifty on the pinky, chain so stankyyou should see the whip, promise i can take yo' bitchdolla ridin' in an old school chevy, it's a drop topboolin' with a thot-thot, she gon' give me top-topjust one switch, i can make the ass drop (hey)uh, take you to the smoke shopwe gon' get high, ayy, we gon' hit rodeodial up valentino, we gon' hit picotake you where i'm from, take you to the slumsthis ain't happen overnight, no, these diamonds real brightsaint laurent jeans, still in my vans thoughall vvss, put you in a necklacegirl, you look beautiful tonightstars on the roof, they matching with the jewelry[post malone:]damn, my ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloadcome with the tony romo for clowns and all the bozosmy ap goin' psycho, lil' mama bad like michaelcan't really trust nobody with all this jewelry on youmy roof look like a no-show, got diamonds by the boatloaddon't act like you my friend when i'm rollin' through my ends, though",Happy
15,16,Congratulations,Post Malone,dfw rap,2016,123,80,63,-4,25,49,220,22,4,83,"mm-mmmyeah, yeahmm-mmmyeahmy momma called, seen you on tv, sonsaid shit done changed ever since we was oni dreamed it all ever since i was youngthey said i wouldn't be nothingnow they always say congratulationsworked so hard, forgot how to vacationthey ain't never had the dedicationpeople hatin', say we changed and look, we made ityeah, we made itthey was never friendly, yeahnow i'm jumping out the bentley, yeahand i know i sound dramatic, yeahbut i know i had to have it, yeahfor the money, i'm a savage, yeahi be itching like a addict, yeahi'm surrounded, twenty bad bitches, yeahbut they didn't know me last year, yeaheveryone wanna act like they important(yeah, yeah, yeah, yeah, yeah, yeah)but all that mean nothing when i saw my dog(yeah, yeah, yeah, yeah, yeah, yeah)everyone counting on me, drop the ball(yeah, yeah, yeah, yeah, yeah, yeah)everything costing like i'm at the bottom, yeah, yeahif you fuck with winning, put your lighters to the skyhow could i make sense when i got millions on my mind?coming with that bullshit, i just put it to the sideballing since a baby, they could see it in my eyesmy momma called, seen you on tv, sonsaid shit done changed ever since we was oni dreamed it all ever since i was youngthey said i wouldn't be nothingnow they always say congratulationsworked so hard, forgot how to vacationthey ain't never had the dedicationpeople hatin', say we changed and look we made ityeah, we made iti was patient, yeah, ohi was patient, aye, ohnow i can scream that we made itnow everyone, everywhere i go, they say 'gratulationsyoung nigga, young nigga, graduationi pick up the rock and i ball, babyi'm looking for someone to call, babybut right now, i got a situationnothing but old ben-ben franklinsbig rings, champagnemy life is like a ball gamebut instead, i'm in the trap thoughpot so big, call it super bowlsuper bowl, call the hoes, get in the rollstop-floor lifestyle, huncho and postmalone, i got a play on my phone, ayeyou know what i'm on, ayehuncho houdini is gone, ayemy momma called, seen you on tv, sonsaid shit done changed ever since we was oni dreamed it all ever since i was youngthey said i wouldn't be nothingnow they always say congratulationsworked so hard, forgot how to vacationthey ain't never had the dedicationpeople hatin', say we changed and look we made ityeah, we made ithey, heyhey, heyhey, heyhey, hey",Sad
16,17,In My Feelings,Drake,canadian hip hop,2018,91,63,84,-6,40,35,218,6,13,83,"trap, trapmoneybennythis sh- got me in my feelingsgotta be real with it, yupkiki, do you love me? are you riding?say you'll never ever leave from beside me'cause i want ya, and i need yaand i'm down for you alwayskb, do you love me? are you riding?say you'll never ever leave from beside me'cause i want ya, and i need yaand i'm down for you alwayslook, the new me is really still the real mei swear you gotta feel me before they try and kill methey gotta make some choices, they runnin' out of options'cause i've been going off, and they don't know when it's stoppingand when you get to topping, i see that you've been learningand when you get to shopping, you spend it like you earned itand when you popped off on your ex, he deserved iti thought you were the one from the jump that confirmed ittrapmoneybenny, ayyi buy you champagne but you love some hennyfrom the block, like you jennyi know you special, girl, 'cause i know too many'resha, do you love me? are you riding?say you'll never ever leave from beside me'cause i want ya, and i need yaand i'm down for you alwaysjt, do you love me? are you riding?say you'll never ever leave from beside me'cause i want ya, and i need yaand i'm down for you alwaystwo bad b- and we kissin' in the wraithkissin'-kissin' in the wraith, kiss-kissin' in the wraithi need that black card and the code to the safecode to the safe, code-code to the safe-safei show him how that neck workf- that netflix and chill, what's your net-net-net worth?'cause i want ya, and i need yaand i'm down for you always (yeah, yeah, yeah, yeah, he bad)and i'm down for you always (yeah, yeah, yeah, guess who's back)and i'm down for you alwaysd-down for you al- (black biggy biggy black biggy black blake)d-d-down for you always(i got a new boy, and that n- trade!)kiki, do you love me? are you riding?say you'll never ever leave from beside me'cause i want you, and i need yaand i'm down for you alwayskb, do you love me? are you riding?say you'll never ever leave from beside me'cause i want ya, and iskate and smoke and ridenow let me see youbring that a-, bring that a-, bring that a- backbring that a-, bring that a-, bring that a- backnow let me see youshawty say the nigga that she with can't hitbut shawty, i'ma hit it, hit it like i can't missnow let me see youwalk that a-, you're the only one i love(walk that a-, walk-walk that a-)now let me see you (bring that a- back)now let me see you (w-w-walk that a-, you're the only one i love)now let me see you, now let me see youtrap, trapmoneybennythis sh- got me in my feelingsgotta be real with it, yup (now let me see you)blaqnmild, you a genius, you diggin' me?what are y'all talking about?you know what? i don't even care, i need a photo with drakebecause my instagram's weak as f-i'm just being real, my sh- look",Sad
17,18,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,83,"… yeahyeahyeah… your man on the road, he doin' promoyou said, ""keep our business on the low-low""i'm just tryna get you out the friend zone'cause you look even better than the photos… i can't find your house, send me the infodrivin' through the gated residentialfound out i was comin', sent your friends homekeep on tryna hide it, but your friends know… i only call you when it's half-past fivethe only time that i'll be by your sidei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, yeah… i only call you when it's half-past fivethe only time i'd ever call you minei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, babe… i'ma let you know and keep it simpletryna keep it up don't seem so simplei just fucked two bitches 'fore i saw youand you gon' have to do it at my tempo… always tryna send me off to rehabdrugs started feelin' like it's decafi'm just tryna live life for the momentand all these motherfuckers want a relapse… i only call you when it's half-past fivethe only time that i'll be by your sidei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, yeah… i only call you when it's half-past fivethe only time i'd ever call you minei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, babe… hills have eyes, the hills have eyeswho are you to judge?who are you to judge?hide your lies, girl, hide your liesonly you to trust, only you… i only call you when it's half-past fivethe only time that i'll be by your sidei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, yeah… i only call you when it's half-past fivethe only time i'd ever call you minei only love it when you touch me, not feel mewhen i'm fucked up, that's the real mewhen i'm fucked up, that's the real me, babe",Sad
18,19,no tears left to cry,Ariana Grande,dance pop,2018,122,71,70,-6,29,35,206,4,6,83,"right now, i'm in a state of mindi wanna be in, like, all the timeain't got no tears left to cryso i'm pickin' it up, pickin' it upi'm lovin', i'm livin' (oh hey), i'm pickin' it upi'm pickin' it up, pickin' it up (yeah)i'm lovin', i'm livin', i'm pickin' it up (oh, yeah)i'm pickin' it up (yeah), pickin' it up (yeah)lovin', i'm livin', so we're turnin' up (we're turnin' it up)yeah, we're turnin' it upain't got no tears in my bodyi ran out, but boy, i like it, i like it, i like itdon't matter how, what, where, who tries itwe're out here vibin', we vibin', we vibin'comin' out, even when it's rainin' downcan't stop now, can't stop so shut your mouthshut your mouth, and if you don't knowthen now you know it, babeknow it, babe, yeahright now, i'm in a state of mindi wanna be in, like, all the timeain't got no tears left to cryso i'm pickin' it up, pickin' it up (oh yeah)i'm lovin', i'm livin', i'm pickin' it upoh, i just want you to come with me (ooh)we're on another mentalityain't got no tears left to cry (to cry)so i'm pickin' it up, pickin' it up (oh yeah)i'm lovin', i'm livin', i'm pickin' it up (oh)pickin' it up (yeah), pickin' it up (yeah)lovin', i'm livin', so we're turnin' up (we're turnin' it up)yeah, we're turnin' it upthey point out the colors in you, i see 'em tooand, boy, i like 'em, i like 'em, i like 'emwe're way too fly to partake in all this hatewe're out here vibin', we're vibin', we're vibin'comin' out, even when it's rainin' downcan't stop now, can't stop, so shut your mouthshut your mouth, and if you don't knowthen now you know it, babeknow it, babe, yeahright now, i'm in a state of mindi wanna be in, like, all the timeain't got no tears left to cryso i'm pickin' it up, pickin' it up (oh yeah)i'm lovin', i'm livin', i'm pickin' it upoh, i just want you to come with me (ooh)we're on another mentalityain't got no tears left to cry (to cry)so i'm pickin' it up, pickin' it up (oh yeah)i'm lovin', i'm livin', i'm pickin' it upcomin' out, even when it's rainin' downcan't stop now (hmm, oh)shut your mouthain't got no tears left to cryoh-yeah, oh, yeahoh, i just want you to come with me (me)we're on another mentalityain't got no tears left to cry (cry)so i'm pickin' it up (yeah), pickin' it up (oh, yeah)i'm lovin', i'm livin', i'm pickin' it up (pickin' it up)pickin' it up (hmm), pickin' it up (hmm)lovin', i'm livin', so we're turnin' up (hmm)yeah, we're turnin' it up",Sad
19,20,Dancing On My Own,Calum Scott,pop,2018,113,17,68,-9,10,24,260,84,3,83,"somebody said you got a new frienddoes she love you better than i can?and there's a big black sky over my towni know where you're at, i bet she's aroundand yeah, i know it's stupidbut i just gotta see it for myselfi'm in the corner, watching you kiss her, ohi'm right over here, why can't you see me? ohand i'm giving it my alli'm not the guy you're taking home, oohi keep dancing on my own, ahi just wanna dance all nightand i'm all messed up, i'm so out of line, yeahstilettos and broken bottlesi'm spinning around in circlesand i'm in the corner, watching you kiss her, ohand i'm right over here, why can't you see me? ohand i'm giving it my allbut i'm not the guy you're taking home, oohi keep dancing on my ownand oh, nahso far away but still so nearthe lights come on, the music diesbut you don't see me standing herei just came to say goodbyei'm in the corner, watching you kiss her, ohand i'm giving it my allbut i'm not the guy you're taking home, oohi keep dancing on my ownand oh, nahsaid, i'm in the corner, watching you kiss her, oh noand i'm right over here, why can't you see me? oh noand i'm giving it my allbut i'm not the guy you're taking home, oohi keep dancing on my ownso far away, but still so nearthe lights come on, the music diesbut you don't see me standing here",Sad
20,21,New Rules,Dua Lipa,dance pop,2017,116,70,76,-6,15,61,209,0,7,83,"onetalkin' in my sleep at night, makin' myself crazy(out of my mind, out of my mind)wrote it down and read it out, hopin' it would save me(too many times, too many times)my lovehe makes me feel like nobody else, nobody elsebut my lovehe doesn't love me, so i tell myself, i tell myselfone, don't pick up the phoneyou know he's only calling 'cause he's drunk and alonetwo, don't let him inyou'll have to kick him out againthree, don't be his friendyou know you're gonna wake up in his bed in the mornin'and if you're under himyou ain't gettin' over himi got new rules, i count 'emi got new rules, i count 'emi gotta tell them to myselfi got new rules, i count 'emi gotta tell them to myselfi keep pushin' forwards, but he keeps pullin' me backwards(nowhere to turn) no way, (nowhere to turn) nonow i'm standin' back from it, i finally see the pattern(i never learn, i never learn) ohbut my love (my love)he doesn't love me, so i tell myself, i tell myselfi do, i do, i doone, don't pick up the phoneyou know he's only calling 'cause he's drunk and alonetwo, don't let him inyou'll have to kick him out againthree, don't be his friendyou know you're gonna wake up in his bed in the mornin'and if you're under himyou ain't gettin' over himi got new rules, i count 'emi got new rules, i count 'emi gotta tell them to myselfi got new rules, i count 'emi gotta tell them to myselfpractice makes perfecti'm still tryna learn it by heart (i got new rules, i count 'em)eat, sleep, and breathe itrehearse and repeat it, 'cause i (i got new)one, don't pick up the phone (yeah)you know he's only calling 'cause he's drunk and alone (and alone)two, don't let him in (no)you'll have to kick him out again (again)three, don't be his friendyou know you're gonna wake up in his bed in the mornin'and if you're under himyou ain't gettin' over himi got new rules, i count 'emi gotta tell them to myself (whoa, oh)i gotta tell them to myselfi got new rules, i count 'em (baby, you know i count 'em)i gotta tell them to myselfdon't let him in, don't let him indon't, don't, don't, don'tdon't be his friend, don't be his frienddon't, don't, don't, don'tdon't let him in, don't let him indon't, don't, don't, don'tdon't be his friend, don't be his frienddon't, don't, don't, don'tyou gettin' over him",Sad
21,22,Treat You Better,Shawn Mendes,canadian pop,2017,83,82,44,-4,11,75,188,11,34,83,"i won't lie to youi know he's just not right for youand you can tell me if i'm offbut i see it on your facewhen you say that he's the one that you wantand you're spending all your timein this wrong situationand anytime you want it to stopi know i can treat you better than he canand any girl like you deserves a gentlemantell me why are we wasting timeon all your wasted cryingwhen you should be with me insteadi know i can treat you betterbetter than he cani'll stop time for youthe second you say you'd like me toi just wanna give you the loving that you're missingbaby, just to wake up with youwould be everything i need and this could be so differenttell me what you want to do'cause i know i can treat you better than he canand any girl like you deserves a gentlemantell me why are we wasting timeon all your wasted cryingwhen you should be with me insteadi know i can treat you betterbetter than he canbetter than he cangive me a signtake my hand, we'll be finepromise i won't let you downjust know that you don'thave to do this alonepromise i'll never let you down'cause i know i can treat you better than he canand any girl like you deserves a gentlemantell me why are we wasting timeon all your wasted cryingwhen you should be with me insteadi know i can treat you betterbetter than he canbetter than he canbetter than he can",Sad
22,23,Something Just Like This,The Chainsmokers,electropop,2017,103,64,62,-7,16,45,247,5,3,83,"i've been reading books of oldthe legends and the mythsachilles and his goldhercules and his giftsspider-man's controland batman with his fistsand clearly i don't see myself upon that listbut she said, where'd you wanna go?how much you wanna risk?i'm not lookin' for somebodywith some superhuman giftssome superherosome fairy-tale blissjust something i can turn tosomebody i can kissi want something just like thisdoo-doo-doo, doo-doo-doodoo-doo-doo, doo-doodoo-doo-doo, doo-doo-doooh, i want something just like thisdoo-doo-doo, doo-doo-doodoo-doo-doo, doo-doodoo-doo-doo, doo-doo-doooh, i want something just like thisi want something just like thisi've been reading books of oldthe legends and the mythsthe testaments they toldthe moon and its eclipseand superman unrollsa suit before he liftsbut i'm not the kind of person that it fitsshe said, where'd you wanna go?how much you wanna risk?i'm not lookin' for somebodywith some superhuman giftssome superherosome fairy-tale blissjust something i can turn tosomebody i can missi want something just like thisi want something just like thisoh, i want something just like thisdoo-doo-doo, doo-doo-doodoo-doo-doo, doo-doodoo-doo-doo, doo-doo-doooh, i want something just like thisdoo-doo-doo, doo-doo-doodoo-doo-doo, doo-doodoo-doo-doo, doo-doo-doowhere'd you wanna go?how much you wanna risk?i'm not lookin' for somebodywith some superhuman giftssome superherosome fairy-tale blissjust something i can turn tosomebody i can kissi want something just like thisoh, i want something just like thisoh, i want something just like thisoh, i want something just like this",Sad
